Sr.No,SAP Item ,Short Desc,QUANTITY,QUANTITY,UNIT,LONG TEXT,RATE,Amount
10,,"Pocket Exc. In soil upto 3
m depth",,,,"Excavation in all types of soil including dense soil, laterite reddishbrown/Laterite reddish brown with patches/ dense soil
disintegrated/weathered/ soft rock (Poclainable) for Footings / RAFT of columns,trenches for drains, etc., by mechanical means
in",,
10.1,,"12000067 /995411 Pocket
Exc. In soil upt",1,,AU,"Excavation in all types of soil including dense soil, laterite reddishbrown/Laterite reddish brown with patches/ dense soil
disintegrated/weathered/ soft rock (Poclainable) for Footings / RAFT of columns,trenches for drains, etc., by mechanical means
in","1,45,79,431.00",
10.2,"12000067
/995411","12000062 /995411 Exc. in
Hardrock/boulde","4,715.00",,CUM,"Specification & scope of work same as 1.01 but for Excavation in Hardrock / boulders (more than 1/2 Cum in size -Un
poclainable) bychiselling/ wedging to required level for Raft, Footings of columns,Retaining walls, Core walls, catch pits, Lift
pits,STP",225,1060875
10.3,"12000062
/995411","12000078 /995411
Backfilling with availa",200,,CUM,"Supply and filling in foundations and the area whereever specified withapproved good quality filling materials in plinths, area
developmentetc. wherever specified in layers of not exceeding 150 mm thickincluding breaking clods,storing,transportation, d","1,926.00",385200
10.4,"12000078
/995411","12000079 /995411
Backfilling - earth bro","19,377.00",,CUM,"Supply and filling in foundations and the area whereever specified withapproved good quality filling materials in plinths, area
developmentetc. wherever specified in layers of not exceeding 150 mm thickincluding breaking clods,storing,transportation, d",160,3100320
10.5,"12000079
/995411","12000077 /995411 Carting
away surplus ea","18,446.00",,CUM,"Carting away surplus earth/excavated material/debris/rock and likematerials outside the plot and disposing off the same to the
designatedareas identified by the local authorities / project managers fordumping of such material, including spreading, compa",463,8540498
10.6,"12000077
/995411","12000085 /995411 Anti-
termite treatment",200,,CUM,"Providing Pre-constructional anti- termite treatment and creating achemical barrier to the building by injecting chemical emulsion
ofrequired concentrations under grade slab and Grade beam, around thePlinth, Plinth filling, trenches, junction of wall a",304,60800
20,"12000085
/995411","CRE- PCC Plum Concrete
1:5:10 (M5)","22,726.00",,SQM,"Providing and laying Plum concrete using lean concrete of grade M5wherever specified using cement, fine aggregates, 40mm
down size metaland boulders of 150mm (proportion 60: 40 for concrete : boulder)including sub grade base preparation,
levelling, lay",63,1431738
20.1,,"13000000 /995454 CRE-
PCC Plum Concrete",1,,AU,"Providing and laying Plum concrete using lean concrete of grade M5wherever specified using cement, fine aggregates, 40mm
down size metaland boulders of 150mm (proportion 60: 40 for concrete : boulder)including sub grade base preparation,
levelling, lay","2,82,17,818.34",28217818.34
20.2,"13000000
/995454","13000002 /995454 CRE-
PCC 1:3:6 (M10)","1,590.03",,CUM,"Providing and laying plain cement concrete of grade M10 at all levelsusing coarse graded aggregate of 20mm and down size,
fine aggregates,cement for levelling course under footings, flooring, steps, walls,platform, for external development works and at","4,729.00",7519237.683
20.3,"13000002
/995454","13000003 /995454 CRE-
PCC 1:2:4 (M15)","2,818.40",,CUM,"Providing and laying plain cement concrete of grade M15 of specifiedthickness wherever specified at all levels using fine
aggregate,cement, 20mm and downsize aggregate including cleaning, subgradepreparation, compaction, levelling, all leads and
lifts,","5,999.00",16907563.6
20.4,"13000003
/995454","12000084 /995411
Polythene sheet",120,,CUM,"Providing and laying 600 micron gauge polythene paper/Polythene sheetwhere ever specified, to the required levels, including
supply, loadingand unloading, storing, transportation, laying, sealing of junctionsand overlaps, all leads and lifts, etc., comp","6,502.00",780240
30,"12000084
/995411",RMC-Raft Foundation,"20,908.17",,SQM,RMC M30 Foundations,144,3010777.056
30.1,,"13000316 /995411 RMC-
Raft Foundation",1,,AU,RMC M30 Foundations,"15,62,13,724.07",156213724.1
30.2,"13000316
/995411","13000321 /995411 RMC-
Parapet / upstand","8,414.65",,CUM,RMC M30 Parapet wall,"7,030.00",59154961.38
30.3,"13000321
/995411","13000321 /995411 RMC-
Parapet / upstand",766,,CUM,RMC M30 RC Upstand,"7,189.00",5506774
30.4,"13000321
/995411","13000328 /995411 RMC-
Domestic, FF & Coll",322,,CUM,RMC M30 UG sump bottom slab,"7,109.00",2289098
30.5,"13000328
/995411","13000328 /995411 RMC-
Domestic, FF & Coll",305,,CUM,RMC M30 UG sump RC Wall,"7,066.00",2155130
30.6,"13000328
/995411","13000328 /995411 RMC-
Domestic, FF & Coll",290,,CUM,RMC M30 UG sump Top slab,"7,066.00",2049140
30.7,"13000328
/995411","13000328 /995411 RMC-
Domestic, FF & Coll",155,,CUM,RMC M30 UG sump Stair,"7,066.00",1095230
30.8,"13000328
/995411","13000329 /995411 RMC-
Water collection Su",5,,CUM,RMC M30 rain water sump bottom slab,"7,066.00",35330
30.9,"13000329
/995411","13000329 /995411 RMC-
Water collection Su",175,,CUM,RMC M30 Rain water sump RC Wall,"7,066.00",1236550
30.1,"13000329
/995411","13000329 /995411 RMC-
Water collection Su",240,,CUM,RMC M30 Rainwater sump Top slab,"7,066.00",1695840
30.11,"13000329
/995411","13000332 /995411 RMC-
STP",90,,CUM,RMC M30 STP bottom slab,"7,066.00",635940
30.12,"13000332
/995411","13000319 /995411 RMC-
Grade slab",378.941,,CUM,RMC M30 Grade slab,"7,066.00",2677597.106
30.13,"13000319
/995411","13000332 /995411 RMC-
STP","2,795.22",,CUM,RMC M30 STP RC Wall,"7,030.00",19650368.48
30.14,"13000332
/995411","13000332 /995411 RMC-
STP",704.946,,CUM,RMC M30 STP Top slab,"7,066.00",4981148.436
30.15,"13000332
/995411","13000318 /995411 RMC-
Retaining wall",260.895,,CUM,RMC M30 Subsoil well bottom slab,"7,066.00",1843484.07
30.16,"13000318
/995411","13000318 /995411 RMC-
Retaining wall",5,,CUM,RMC M30 Subsoil well walls,"7,066.00",35330
30.17,"13000318
/995411","13000318 /995411 RMC-
Retaining wall",20,,CUM,RMC M30 Subsoil well top slab,"7,066.00",141320
