Item No.,Description ,UOM , Qty ,Rate ,Amount 
A,STRUCTURE WORKS,,,,
,,,,, -   
1,EARTH WORKS,,,, -   
,"General Notes for all Excavation Items: Contractor shall take all required permissions from the appropriate  authorities for Excavation, Blasting, Carting away materials etc. and shall bear all the expenses for the same.",, -   ,, -   
,"Rate shall include 
1. Removal of all kinds of vegetation, small shrubs etc. If there are any shrubs, bushes, roots of the trees to be removed for min depth 1.5m including all necessary permissions. Lift & lead outside campus are to be considered to suit the local regulations.  The necessary approval shall be taken for removal of trees with the consent of the clients if applicable. The contractor shall be fully responsible for liasoning with local authoritites, compliance to all the statutory obligations, including all labour lanes in force, facilities, policies etc. towards all employees , labour and under no circumstance nor any acting party pass on the responsiblitites of the contractor  to the other contractor/clients.",, -   ,, -   
,"2. Contractor shall get acquainted with site conditions, nature of soil and adopt suitable dewatering system as deemed fit for the nature of soil and prevailing water table and water collected by runoff or rain needs to be disposed off from the site.  The rate shall include keeping the excavated surface dry till completion of the scope of work. Dewatered water/ Slush  shall be drained out by suitable means to places not objected by civic authorities. The contractor shall submit the method statement for dewatering and the same shall be let out of the building premises through proper pipes & channels as required. ",, -   ,, -   
,"3. The rate shall include necessary general shoring, strutting with approved timber/steel accessories wherever necessary as approved by the Client / the Engineer. ",, -   ,, -   
,4. Contour level to be taken jointly with the Project Manager and prior written approval be taken before starting any excavation/ filling at every 5 mt grids for arriving at the actual quantity using simpsons rule.  Cost to include all and necessary royalty and other permission charges required to execute the works.,, -   ,, -   
,"5. The rate shall include all necessary setting out of building, excavation line, barrication by grid/plot marking, survey by Total station, transfer of bench mark, etc., complete",, -   ,, -   
,6.The quoted rates includes seggregating of good quality excavated earth from the clay / silty soil and storing in designted area for further treatment within the site premises for future landscape purposes including preserving top 300 mm layer of existing soil to meet MOEF requirements.. No extra is payable towards double handling.,, -   ,, -   
,"7. Quoted rates shall incldue the preparation of temporary access road / Pathways, cross over, foot path, tracks, hard standings, temporary ramp to approach the excavated level etc, and temporary drains, rerouting of existing roads, supporting systems for existing MEP services if any and re-routing if required, etc. complete. at no extra cost.",, -   ,, -   
,8.  Carting away all types of excavated earth outside or within the site shall be included and environmental norms to be followed for discarding excavated material with submission of document of proof.,, -   ,, -   
,9. Soil shall be classified as three types for billing purpose.,, -   ,, -   
,"a.Classification under hard rock  excavation item which requires chiselling with compressed air/mechanical equipment's,controlled blasting, chemical splitting, diamond cutting etc. with necessary mechanical equipment's and loose boulders which requires splitting and handling.",, -   ,, -   
,"b. Classification under soft/medium/ weathered rock  excavation item which is non poclainable, can be excavated using rock breaker attachments to JCB/Poclain, manual chiselling, etc. and loose boulders removal without spliting etc.",, -   ,, -   
,"c. Classification under soil  excavation which is poclainable, can be excavated using JCB/Poclain etc. ",, -   ,, -   
,"10. Please note that the water and power required for construction shall be arranged by contractor and shall be included in the rates quoted. Necessary bore wells , bringing water from tankers from outside, DG, temporary power, power distribution lines etc are all part of the rates quoted.",, -   ,, -   
,"11. The method statement shall include all safety features and protection to workmen, third party as well as property and services nearby. Methods of shoring and strutting should be fully detailed in the method statement. Removal of excavated material from excavated area, method of handling, method of storage (including any handling if necessary) as well as disposal shall be explained fully. Where controlled blasting is restricted, the contractor should ensure that all necessary statutory approvals are obtained in advance and kept in current and all necessary insurance and other covers shall be taken and kept valid in the case of sub-contracting this job, such cover shall include sub-contractor's workman also. Where controlled blasting is resorted to, contractor should take all necessary precaution for ensuring safety of life end property in the vicinity. ",, -   ,, -   
,"12. Carting away of excavated soil/surplus /dense soil/ disintegrated/ weathered/ soft rock /other materials away from the site to a place designated and not objected by civic authorities by mechanical means including lead, lift, loading, unloading etc., complete. Including taking necessary approval from local authorities, environmental norms to be followed for discarding earth with submission of document of proof and fee if any. For the purpose of payment, quantities from the excavated area based on contour profile shall be accounted and loose earth or truck load will not be measured and paid. Rate to include all royalties, Seignorage, taking statutory approvals, traffic permits from Police and Local body, as necessary to carry out the works etc., complete. Disposal should also to an approved site only.  No Lift / lead distance or limitation is specified or accepted. Contractor are required to examine the scope of work, inspect the site and find out before quoting the approved disposal points. No increase in rate is allowable on account of difference between lift / lead distances.  ",, -   ,, -   
,"13. The rates quoted shall include for Excavation either straight, inclined or curved in basements, etc., including marking out, cutting and dressing sides and bottoms to true dimensions and deposition of excavated material as described.",, -   ,, -   
,14. Qty. shall be arrived at after taking block levels taken prior to and after excavation. The below mentioned quantities are based on soil report and the quantities may vary as per site condition. Quantity  mentioned is tentative and may vary to any extent depending upon underlying ground profile to be exposed during excavation.,, -   ,, -   
,"15.Trimming all sides as instructed at site, levelling all bottoms, clearing out all loose earth etc. The rates to include necessary cutting, trimming and filling with compaction .",, -   ,, -   
1.01,General / Mass Earth work Excavation - Material stacking within the site boundary,, -   ,, -   
